,filename,img_hash,label,cell_X,cell_Y,cell_shape_orientation_rad,cell_shape_orientation_deg,cell_major_axis_length,cell_minor_axis_length,cell_eccentricity,cell_major_to_minor_ratio,cell_area,cell_perimeter,cell_corner_points,marker_mean_expression,marker_sum_expression,marker_centroid_X,marker_centroid_Y,marker_centroid_orientation_rad,marker_centroid_orientation_deg,nuc_X,nuc_Y,nuc_displacement_orientation_rad,nuc_displacement_orientation_deg,nuc_shape_orientation_rad,nuc_shape_orientation_deg,nuc_major_axis_length,nuc_minor_axis_length,nuc_area,nuc_perimeter,nuc_eccentricity,nuc_major_to_minor_ratio,organelle_X,organelle_Y,nuc_organelle_distance,organelle_orientation_rad,organelle_orientation_deg,marker_mean_expression_nuc,marker_sum_expression_nuc,marker_nucleus_orientation_rad,marker_nucleus_orientation_deg,marker_mean_expression_cyt,marker_sum_expression_cyt,marker_mean_expression_mem,marker_sum_expression_mem,junction_centroid_X,junction_centroid_Y,junction_perimeter,junction_protein_area,junction_mean_expression,junction_protein_intensity,junction_interface_linearity_index,junction_interface_occupancy,junction_intensity_per_interface_area,junction_cluster_density,morans_i,morans_p_norm,neighbors_cell,neighbors_mean_dif_1st,neighbors_median_dif_1st,neighbors_stddev_dif_1st,neighbors_range_dif_1st,neighbors_mean_dif_2nd,neighbors_median_dif_2nd,neighbors_stddev_dif_2nd,neighbors_range_dif_2nd,condition,nuclei_golgi_rad
240,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,61.0,447.1363636363636,695.2240179573513,2.083842685621188,119.39539105530092,183.18460252351048,72.9541630861084,0.9172747927315918,2.510954752606732,8910.0,494.1381310103741,"[[664, 333], [653, 417], [656, 471], [689, 495], [750, 522], [761, 499], [740, 469], [741, 453], [703, 418]]",83.74040222167969,746126.983795166,442.6984910075631,692.5873865977239,2.1068814918249004,120.71541741579344,437.88808373590985,692.145732689211,1.892111360938571,108.40999535053449,1.8428051825084388,105.58495942256894,49.46174537140503,32.02480484151192,1242.0,135.29646455628165,0.7620942270821925,1.544482335370569,417.2690582959641,676.0044843049327,26.18557063529636,2.234981424885196,128.05500293605675,125.4975814819336,155867.99620056152,5.033704014528364,288.4099953505344,76.97691345214844,590258.9723510742,82.6171875,490333.0078125,436.27022334213865,692.6260735981162,494.1381310103741,3012.0,388.4786987304688,1734192.0,1.0521601023807703,0.5074978938500421,292.1974726200506,575.7609561752988,0.0519100646882144,0.1687913245274235,3.0,-407.0,-1240.0,2963.006243665376,7113.0,-1072.5,-1878.0,3290.08047014051,10590.0, flow,2.234981424885196
241,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,62.0,421.87451574869465,91.43658413340071,2.206040862666262,126.39683086417608,130.1053979195989,63.73782243424893,0.8717821431035582,2.041258909555842,5937.0,355.0609665440988,"[[44, 354], [75, 463], [109, 474], [143, 445], [129, 413]]",90.43675231933594,536922.9985198975,420.2167554751799,91.88281187432835,1.3078535287368906,74.93448741791556,430.7906336088154,108.8870523415978,5.810825157855904,332.9357570335836,1.7733619999594132,101.60615814655326,35.63593855819473,25.96131442598923,726.0,100.08326112068522,0.6850298899198509,1.3726554046323816,418.1185897435897,85.21474358974359,26.85067778223331,2.6500969978029056,151.8393732743967,110.60054779052734,80295.99769592285,2.6692325042661103,152.93575703358363,87.62751770019531,456626.9947357178,82.37987518310547,339816.98513031006,415.789588728531,86.65675610386074,355.0609665440988,2105.0,397.9357604980469,1258865.0,1.068997750754546,0.5103030303030303,305.17939393939395,598.0356294536817,0.0519100646882144,0.1687913245274235,4.0,1632.25,-134.0,3444.9194021776475,8343.0,1584.090909090909,-293.0,6140.768495799875,22999.0, flow,2.6500969978029056
242,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,63.0,409.1343496903288,914.214387803716,1.4980760375174147,85.83343433942984,95.98858631354976,29.737438891146432,0.9508011523676496,3.2278699811680123,2099.0,231.3319984622144,"[[922, 355], [896, 415], [903, 444], [922, 456]]",105.97903442382812,222449.99325561523,411.7278534502135,914.2894807821982,4.741335151769714,271.6584934534243,416.301393728223,914.5121951219512,4.753917411969466,272.3794038596055,1.4060118100186088,80.558542659616,32.83267517290347,22.270793026127173,574.0,88.18376618407356,0.7347741272461441,1.4742481390036508,435.40972222222223,912.625,19.20129483297675,4.61394526735673,264.35959072390085,146.84669494628906,84290.00289916992,1.612324758379673,92.37940385960547,90.59671783447266,138159.9946975708,80.3836898803711,234639.9907608032,407.3065540894679,914.5108902626888,231.3319984622144,1904.0,332.74444580078125,822310.0,1.0577778421157829,0.6522781774580336,281.70948955121617,431.8855042016807,0.0519100646882144,0.1687913245274235,6.0,5156.333333333333,4082.5,2929.8808659890747,8108.0,5495.857142857143,4305.0,2720.1456593651865,8123.0, flow,4.61394526735673
230,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,49.0,258.7617982099268,194.4235150528885,0.1840780687715817,10.546896441530553,121.84461537792116,53.64776537577291,0.8978524024446176,2.271196470616568,4916.0,315.072113832392,"[[207, 232], [127, 256], [139, 273], [162, 282], [214, 288], [244, 258], [256, 232]]",90.92616271972656,446993.0159301758,257.2966981585841,195.78150888268945,0.8233192815551336,47.17272002485228,246.5266362252664,222.47336377473363,0.4113133212676985,23.566517366147647,2.6867777009580065,153.94102275475618,33.88629074914907,24.72880804305825,657.0,94.66904755831214,0.6837050243364806,1.370316381207927,258.7409638554217,209.9879518072289,17.466405224174935,3.916016067533121,224.3711931750654,128.69102478027344,84550.00328063965,3.552905974857492,203.56651736614768,85.10049438476562,362443.0055847168,88.5111083984375,342537.9895019531,256.83259693375066,193.44534642869448,315.072113832392,2105.0,407.7348937988281,1216926.0,1.0452359967959426,0.5439276485788114,314.45116279069765,578.1121140142518,0.0519100646882144,0.1687913245274235,4.0,8951.75,8142.5,7393.159418509789,20766.0,1877.7777777777776,1021.0,2593.606445677857,9240.0, flow,3.916016067533121
243,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,64.0,410.0259372275501,948.2035745422842,1.3577652289529891,77.7942171886202,124.87427271884044,55.09347107137837,0.8974129687329788,2.2665893124986622,4588.0,333.4802307403552,"[[923, 356], [923, 457], [934, 476], [947, 475], [960, 431], [992, 370]]",70.74237060546875,324565.9963378906,411.0397946796645,949.055474079232,5.411198723699099,310.03884897453605,394.7142857142857,960.2344720496894,0.904814402886267,51.8420465280328,1.1142885179730393,63.844029239742525,33.654750065336366,24.41269126363461,644.0,93.84062043356596,0.6883421102710305,1.3785759915568514,417.8404255319149,944.122340425532,28.18544178008765,4.103876849407556,235.13482311249825,89.55745697021484,57675.00228881836,4.04640705647606,231.8420465280328,67.67013549804688,266891.0144042969,75.05279541015625,315597.00469970703,408.5860588471956,948.0086503115024,333.4802307403552,2417.0,330.85968017578125,1117267.0,1.038351610667773,0.5747919143876338,265.69964328180737,462.2536201903186,0.0519100646882144,0.1687913245274235,4.0,628.5,1070.5,2013.057189947668,5351.0,2900.5,2245.5,2802.704333912754,8013.0, flow,4.103876849407556
245,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,66.0,433.4065001601024,269.3197246237592,1.8793150756157488,107.67682220809156,126.2099622076388,67.78107512668193,0.843550336671364,1.862023610155992,6246.0,361.4041122946064,"[[275, 370], [221, 405], [276, 506], [308, 468], [308, 442]]",80.18299865722656,500823.0096130371,436.0370989351528,268.49728147469267,4.409372158053676,252.63841495896745,436.9112582781457,266.041059602649,3.960308719384341,226.9089751895826,1.8813694038457327,107.79452654540428,36.1909090918363,26.56470715829784,755.0,101.25483399593904,0.6791321506616164,1.3623680801815878,457.4476534296029,274.9241877256318,22.375287508010327,5.120641654586512,293.39115520669384,130.5986785888672,98602.00233459473,0.8187160657945478,46.90897518958261,73.2509536743164,402220.9866256714,71.68904113769531,300162.0152435303,432.6294845392323,271.0972784005062,361.4041122946064,1819.0,322.5151672363281,957416.0,1.0812835980651847,0.4344399331263434,228.66395987580609,526.3419461242441,0.0519100646882144,0.1687913245274235,6.0,1325.8333333333333,510.0,2344.748203728684,7114.0,208.9090909090909,-136.0,3025.6088930252904,11446.0, flow,5.120641654586512
246,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,67.0,449.5162398500937,986.8221424109933,1.4143625193375615,81.03700305953257,132.58642311424748,63.22562245319149,0.8789773752999851,2.097036264251991,6404.0,364.23253941935263,"[[992, 371], [947, 476], [980, 518], [1010, 488], [1021, 450], [1020, 421]]",76.35196685791016,488957.99575805664,451.72928145157664,987.5952188122498,5.048464609847913,289.2557151654452,465.1591591591592,993.3168168168168,5.105915258148202,292.54739484334215,1.0009725201484638,57.35150081308074,34.812792840391104,24.410243421973902,666.0,96.32590180780451,0.7129783831349021,1.4261550873783138,458.476,978.416,16.33092030949217,2.7199788492644745,155.8433084277047,108.63063049316406,72347.99990844727,1.9643226045584088,112.5473948433422,72.60543823242188,416610.0045776367,81.500244140625,329097.9858398437,447.2964116595666,984.3182544700096,364.23253941935263,2241.0,372.6671752929688,1194451.0,1.0841544900554505,0.5549777117384844,295.80262506191184,532.9991075412762,0.0519100646882144,0.1687913245274235,1.0,-1816.0,-1816.0,0.0,0.0,-1583.3333333333333,-1491.0,2185.512042723373,5351.0, flow,2.7199788492644745
247,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,68.0,473.08826237054086,403.30391254315305,1.2046818147098797,69.02318363903714,228.5569482562399,57.93587355632185,0.9673391848359294,3.944998741307496,8690.0,554.0498192558055,"[[435, 379], [401, 426], [365, 453], [374, 516], [358, 595], [372, 596], [436, 446], [464, 412], [455, 391]]",85.21588134765625,740526.0089111328,480.6307219462922,400.9790189675987,4.413389094920245,252.8685684879923,483.4020618556701,405.2361761949391,4.897589521511649,280.6112093701138,1.3073802613818746,74.90737119589183,54.45302813709774,25.39339680151276,1067.0,133.74011537017762,0.8846077749063245,2.1443774758741143,492.4105263157895,388.7263157894737,18.80765595541316,3.64108342490137,208.61871310188755,114.36176300048828,122024.001121521,1.755996867921856,100.6112093701138,81.13629913330078,618502.0082931519,82.87659454345703,545991.0048522949,486.1927828092183,398.39926142865073,554.0498192558055,3423.0,395.971923828125,2055371.0,1.0766878552511925,0.5195810564663024,311.9870977534912,600.4589541338007,0.0519100646882144,0.1687913245274235,5.0,-777.2,-2026.0,3567.4799733144964,9981.0,-2044.3333333333333,-2478.0,2395.3240328235806,10095.0, flow,3.64108342490137
248,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,69.0,491.4702881152461,330.37424969987995,1.4387456735281476,82.43405488586987,271.91489811589366,43.54941629830219,0.9870913496337864,6.243824170991116,6664.0,614.7239174480011,"[[350, 381], [308, 436], [318, 577], [292, 652], [311, 642], [329, 600], [329, 553], [340, 500], [364, 457]]",86.10939025878906,573832.9766845703,488.08606510953535,331.5097842055093,1.2470631290301488,71.45145407980594,437.5444126074498,339.88252148997134,1.3962690671787872,80.00032461401292,1.5784729860984903,90.43984017885576,37.87398583899823,23.48643316290116,698.0,99.59797974644664,0.784506613611339,1.6125899397454462,468.18815331010455,328.3135888501742,32.754832417151846,4.351402040349153,249.3169718766216,148.51002502441406,103659.99746704102,4.53786172076858,260.0003246140129,78.80874633789062,470172.98065185547,79.97102355957031,604420.9960632324,517.8211787103611,325.97810391045084,614.7239174480011,3544.0,336.6925048828125,1894967.0,1.051252838869426,0.4689071182852606,250.72333950780623,534.6972347629796,0.0519100646882144,0.1687913245274235,6.0,-309.0,-117.0,1739.4570033969412,5749.0,1970.0,971.0,3731.980022573659,10580.0, flow,4.351402040349153
249,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,70.0,466.8267860777529,888.4019947079178,2.385916065448069,136.70292082263347,123.39708984106493,61.19213403287334,0.8683818691271835,2.01655150275972,4913.0,366.6700935788387,"[[841, 402], [860, 462], [853, 500], [893, 495], [933, 516], [934, 510], [934, 477], [920, 454], [891, 446]]",76.24343872070312,374584.01443481445,465.999725028298,886.9000037374794,2.638255790354745,151.1609220632782,463.4342313787639,880.4833597464342,2.7368231386463293,156.808415118182,1.9014499965937584,108.94505975998712,39.17846821514623,20.59397645303637,631.0,98.66904755831212,0.8507038565041274,1.9024236676433488,457.66379310344826,868.5775862068965,13.23047245807884,2.690279527189478,154.1416626184077,111.84786224365234,70576.00107574463,5.878415792236122,336.808415118182,70.9967269897461,304007.9849700928,72.45083618164062,319797.9909057617,463.2579762046296,885.5359327514093,366.6700935788387,2652.0,315.98663330078125,1127299.0,1.0483487293344076,0.6008155867693702,255.3917082011781,425.07503770739066,0.0519100646882144,0.1687913245274235,5.0,972.2,1021.0,2432.7136617366214,6973.0,2937.5,2014.0,3439.0390009419784,9773.0, flow,2.690279527189478
